"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1",1,"Christian McCaffrey",CAR,"1","3","1.0","0.2"
"2",1,"Dalvin Cook",MIN,"1","6","2.3","0.7"
"3",1,"Alvin Kamara",NO,"2","7","3.3","1.0"
"4",2,"Ezekiel Elliott",DAL,"3","11","5.4","1.6"
"5",2,"Derrick Henry",TEN,"1","11","5.5","2.3"
"6",2,"Austin Ekeler",LAC,"3","14","6.9","2.4"
"7",2,"Saquon Barkley",NYG,"2","22","7.2","2.6"
"8",2,"Aaron Jones",GB,"3","14","7.3","1.8"
"9",3,"Jonathan Taylor",IND,"3","20","10.2","2.5"
"10",3,"Nick Chubb",CLE,"5","18","10.6","2.1"
"11",3,"Antonio Gibson",WAS,"3","30","11.5","2.7"
"12",3,"Joe Mixon",CIN,"2","21","11.6","2.6"
"13",3,"Najee Harris",PIT,"5","88","13.8","10.4"
"14",3,"Clyde Edwards-Helaire",KC,"5","199","13.9","3.1"
"15",3,"D'Andre Swift",DET,"7","40","15.3","3.3"
"16",3,"Chris Carson",SEA,"9","23","17.1","2.4"
"17",4,"David Montgomery",CHI,"10","28","17.5","2.8"
"18",4,"J.K. Dobbins",BAL,"10","31","17.9","3.0"
"19",4,"Miles Sanders",PHI,"10","30","19.0","3.0"
"20",4,"Josh Jacobs",LV,"8","32","21.4","2.7"
"21",4,"Myles Gaskin",MIA,"15","87","22.1","3.5"
"22",4,"Darrell Henderson",LAR,"14","52","22.7","6.6"
"23",4,"Travis Etienne",JAC,"9","86","23.2","7.2"
"24",4,"Mike Davis",ATL,"14","84","24.0","9.1"
"25",4,"Kareem Hunt",CLE,"18","37","24.1","2.4"
"26",4,"Chase Edmonds",ARI,"15","42","27.6","3.6"
"27",5,"Melvin Gordon III",DEN,"17","46","31.1","5.7"
"28",5,"Javonte Williams",DEN,"13","96","31.3","11.8"
"29",5,"Raheem Mostert",SF,"20","52","31.7","5.3"
"30",5,"James Robinson",JAC,"18","64","32.0","6.3"
"31",5,"Damien Harris",NE,"22","50","32.4","5.0"
"32",5,"David Johnson",HOU,"17","53","33.5","5.3"
"33",5,"Ronald Jones II",TB,"24","48","34.1","5.0"
"34",5,"Leonard Fournette",TB,"24","49","35.8","5.0"
"35",5,"Michael Carter",NYJ,"21","97","32.8","8.8"
"36",5,"Zack Moss",BUF,"26","53","36.8","5.5"
"37",5,"James Conner",ARI,"18","51","37.5","5.5"
"38",5,"Kenyan Drake",LV,"12","52","37.6","4.9"
"39",5,"Nyheim Hines",IND,"29","55","38.1","4.9"
"40",5,"Trey Sermon",SF,"17","99","35.7","9.8"
"41",6,"Jamaal Williams",DET,"25","54","41.8","4.9"
"42",6,"Devin Singletary",BUF,"24","57","42.4","5.3"
"43",6,"Tony Pollard",DAL,"28","56","42.7","4.3"
"44",6,"AJ Dillon",GB,"30","55","43.5","4.9"
"45",6,"Latavius Murray",NO,"35","58","44.8","3.8"
"46",6,"J.D. McKissic",WAS,"29","75","45.2","6.6"
"47",6,"Gus Edwards",BAL,"31","90","45.6","6.1"
