"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","AVG"
"1","Christian McCaffrey","CAR","13","RB1","1","1","1","1","1","1.0"
"2","Dalvin Cook","MIN","7","RB2","2","2","2","2","2","2.0"
"3","Derrick Henry","TEN","13","RB3","3","4","4","4","3","3.5"
"4","Alvin Kamara","NO","6","RB4","4","3","3","3","4","3.5"
"5","Ezekiel Elliott","DAL","7","RB5","8","5","5","7","5","7.2"
"6","Saquon Barkley","NYG","10","RB6","6","8","9","5","10","7.2"
"7","Travis Kelce","KC","12","TE1","5","9","6","9","8","7.3"
"8","Davante Adams","GB","13","WR1","7","6","7","11","6","8.2"
"9","Nick Chubb","CLE","13","RB7","11","11","11","8","7","9.0"
"10","Tyreek Hill","KC","12","WR2","9","10","8","10","12","9.8"
"11","Jonathan Taylor","IND","14","RB8","14","7","10","6","15","10.2"
"12","Aaron Jones","GB","13","RB9","12","13","12","13","9","11.7"
"13","Austin Ekeler","LAC","7","RB10","13","12","15","12","11","11.8"
"14","Stefon Diggs","BUF","7","WR3","10","14","13","14","13","13.0"
"15","Najee Harris","PIT","7","RB11","19","16","16","15","14","16.2"
"16","DeAndre Hopkins","ARI","12","WR4","15","17","18","16","16","16.7"
"17","Patrick Mahomes II","KC","12","QB1","16","25","14","23","22","19.3"
"18","D.K. Metcalf","SEA","9","WR5","17","20","17","19","21","19.5"
"19","Antonio Gibson","WAS","9","RB12","20","18","22","18","17","19.5"
"20","Calvin Ridley","ATL","6","WR6","18","19","19","20","19","19.8"
"21","Joe Mixon","CIN","10","RB13","22","15","21","17","20","20.5"
"22","Clyde Edwards-Helaire","KC","12","RB14","24","23","23","21","18","22.3"
"23","Darren Waller","LV","8","TE2","29","21","20","22","23","22.7"
"24","Justin Jefferson","MIN","7","WR7","23","22","24","25","24","22.8"
"25","A.J. Brown","TEN","13","WR8","21","26","27","24","26","23.2"
"26","George Kittle","SF","6","TE3","25","31","26","26","29","26.2"
"27","Keenan Allen","LAC","7","WR9","27","29","28","28","27","28.5"
"28","D'Andre Swift","DET","9","RB15","33","27","29","27","31","29.5"
"29","David Montgomery","CHI","10","RB16","31","24","33","31","28","30.3"
"30","Josh Allen","BUF","7","QB2","26","37","25","36","36","31.0"
"31","J.K. Dobbins","BAL","8","RB17","40","28","32","30","25","31.5"
"32","Terry McLaurin","WAS","9","WR10","28","30","36","33","32","31.7"
"33","Allen Robinson II","CHI","10","WR11","30","34","35","32","35","32.2"
"34","CeeDee Lamb","DAL","7","WR12","35","35","34","37","33","34.5"
"35","Miles Sanders","PHI","14","RB18","34","33","37","34","37","35.7"
"36","Chris Carson","SEA","9","RB19","38","32","38","35","30","36.2"
"37","Josh Jacobs","LV","8","RB20","37","36","39","29","34","37.2"
"38","Mike Evans","TB","9","WR13","32","40","40","38","43","38.2"
"39","Kyler Murray","ARI","12","QB3","36","44","30","45","44","39.5"
"40","Robert Woods","LAR","11","WR14","39","38","44","41","40","40.5"
"41","Julio Jones","TEN","13","WR15","43","49","46","40","38","40.8"
"42","Amari Cooper","DAL","7","WR16","44","43","48","39","46","44.2"
"43","Chris Godwin","TB","9","WR17","49","39","43","43","49","44.3"
"44","Lamar Jackson","BAL","8","QB4","46","52","31","51","50","44.5"
"45","Kyle Pitts","ATL","6","TE4","48","48","41","55","42","46.8"
"46","Myles Gaskin","MIA","14","RB21","52","45","47","42","39","47.8"
"47","Adam Thielen","MIN","7","WR18","41","58","51","44","53","50.7"
"48","Dak Prescott","DAL","7","QB5","50","53","42","58","59","50.7"
"49","Mark Andrews","BAL","8","TE5","42","54","55","54","55","51.0"
"50","Cooper Kupp","LAR","11","WR19","54","46","58","48","47","52.8"
"51","Tyler Lockett","SEA","9","WR20","47","50","57","49","60","53.7"
"52","Kareem Hunt","CLE","13","RB22","62","51","61","46","48","54.3"
