"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","297.1","1,302.6","11.9","96.8","785.5","4.3","2.5","398.0"
"Dalvin Cook","MIN","317.4","1,490.4","13.0","54.6","471.8","2.0","2.9","334.5"
"Alvin Kamara","NO","206.9","945.8","9.7","80.3","687.9","3.5","1.9","318.8"
"Derrick Henry","TEN","338.4","1,657.8","14.2","24.3","181.0","1.1","2.7","294.6"
"Austin Ekeler","LAC","180.7","822.1","4.7","80.3","695.7","4.9","1.6","286.6"
"Saquon Barkley","NYG","267.0","1,205.7","9.2","56.8","440.3","2.0","1.8","284.7"
"Ezekiel Elliott","DAL","282.0","1,209.5","9.5","52.8","392.7","2.4","2.9","278.6"
"Aaron Jones","GB","232.6","1,127.9","10.4","50.9","393.1","2.7","2.1","277.9"
"Jonathan Taylor","IND","271.9","1,255.0","10.5","42.2","321.1","1.6","1.9","268.6"
"Joe Mixon","CIN","276.3","1,164.6","8.1","50.1","366.7","2.9","2.0","265.3"
"Najee Harris","PIT","259.5","1,152.7","8.7","49.4","365.7","2.2","2.6","261.7"
"Nick Chubb","CLE","273.5","1,371.2","11.1","28.6","225.2","1.0","1.9","256.7"
"Antonio Gibson","WAS","242.4","1,088.0","9.7","45.5","332.0","1.4","2.1","250.1"
"D'Andre Swift","DET","195.4","870.0","8.0","59.0","435.7","2.1","2.3","245.2"
"Clyde Edwards-Helaire","KC","222.0","999.4","7.3","50.6","389.7","2.2","1.8","242.9"
"Chris Carson","SEA","231.6","1,061.2","7.4","43.3","320.8","2.4","2.1","236.3"
"David Montgomery","CHI","253.5","1,060.7","7.9","39.4","312.5","1.6","2.0","229.8"
"Miles Sanders","PHI","222.3","1,065.9","6.6","40.9","336.7","1.6","1.8","226.7"
"J.K. Dobbins","BAL","212.0","1,076.9","9.4","31.6","240.5","1.2","1.6","223.7"
"Myles Gaskin","MIA","214.0","909.6","6.0","47.8","371.2","1.9","2.0","219.7"
"Josh Jacobs","LV","251.2","1,073.5","9.2","31.5","236.5","0.9","2.0","219.1"
"Mike Davis","ATL","221.8","877.1","6.5","48.7","311.7","1.7","1.9","213.2"
"Darrell Henderson","LAR","235.4","1,011.5","7.7","32.4","268.7","1.6","1.8","212.9"
"Chase Edmonds","ARI","166.8","743.0","4.9","51.6","378.6","2.9","1.5","207.5"
"Travis Etienne","JAC","133.7","595.6","4.1","63.2","501.2","2.6","3.0","207.1"
"Kareem Hunt","CLE","155.7","689.2","5.6","38.5","313.6","2.5","1.3","184.6"
"James Robinson","JAC","182.9","800.1","5.6","30.4","217.3","1.0","1.5","168.6"
"David Johnson","HOU","146.4","614.0","4.4","36.7","326.5","2.2","1.5","167.7"
"Javonte Williams","DEN","188.2","835.8","5.5","25.9","202.4","1.1","2.0","165.3"
"Raheem Mostert","SF","153.8","766.2","6.0","23.8","206.3","1.3","1.4","162.1"
"Leonard Fournette","TB","167.0","685.1","6.4","31.0","213.3","0.8","1.2","161.7"
"Damien Harris","NE","210.6","992.4","5.8","11.5","88.1","0.3","1.4","153.5"
"Michael Carter","NYJ","152.2","640.0","4.1","32.0","247.1","1.1","1.8","148.4"
"Zack Moss","BUF","157.1","671.3","5.7","24.5","175.7","0.9","1.2","146.8"
"Kenyan Drake","LV","137.4","571.7","4.6","35.1","247.5","0.8","1.4","146.7"
"Melvin Gordon III","DEN","168.8","744.0","5.5","21.8","140.4","1.0","2.4","144.1"
"J.D. McKissic","WAS","65.7","284.6","1.5","56.4","410.8","1.7","0.8","143.9"
"James Conner","ARI","151.0","675.9","5.8","22.9","160.5","0.7","1.4","142.6"
"Jamaal Williams","DET","137.5","566.6","3.5","35.0","239.1","1.2","1.2","141.7"
"James White","NE","52.5","214.9","1.8","52.3","423.4","2.3","1.2","138.1"
"Nyheim Hines","IND","62.0","267.1","1.9","50.2","374.6","2.1","1.2","136.2"
"Trey Sermon","SF","140.4","637.6","5.2","19.4","157.6","1.0","1.8","132.1"
"Latavius Murray","NO","141.6","602.3","4.1","25.3","184.3","1.0","1.2","132.0"
"Ronald Jones II","TB","162.1","729.1","5.4","16.0","112.8","0.3","1.4","131.6"
"Tony Pollard","DAL","110.5","494.9","3.2","30.6","225.1","1.3","1.2","127.3"
"Devin Singletary","BUF","119.5","528.5","2.9","30.4","214.9","1.2","1.3","127.2"
"Gus Edwards","BAL","152.2","739.1","5.1","11.0","93.3","0.3","1.3","124.1"
"Tarik Cohen","CHI","58.9","244.6","1.2","49.1","332.7","1.8","1.2","122.2"
"AJ Dillon","GB","140.8","635.6","4.4","15.2","116.8","0.5","1.4","117.6"
"Tevin Coleman","NYJ","128.4","499.0","3.6","17.7","136.5","0.6","1.2","103.8"
"Alexander Mattison","MIN","115.8","520.8","2.7","16.2","132.6","0.6","0.7","100.4"
"Giovani Bernard","TB","55.4","201.8","1.4","35.8","272.3","1.5","0.6","99.0"
"Phillip Lindsay","HOU","104.5","461.4","2.7","20.7","132.3","0.3","1.1","95.9"
"Darrel Williams","KC","79.3","332.2","3.2","20.2","149.4","0.7","0.6","91.1"
"Rashaad Penny","SEA","87.8","410.1","3.0","13.7","108.2","0.7","0.7","86.3"
"Damien Williams","CHI","69.5","292.2","2.8","19.6","140.0","0.9","0.6","84.1"
"Xavier Jones","LAR","94.1","388.6","3.3","12.8","103.6","0.6","1.1","82.9"
"Ty Johnson","NYJ","76.2","329.7","2.2","15.3","104.6","0.6","0.3","75.1"
"Boston Scott","PHI","50.0","211.6","1.7","22.0","174.3","0.6","0.6","73.0"
"Darrynton Evans","TEN","57.3","247.9","2.0","16.8","138.1","1.0","0.7","72.2"
"Sony Michel","NE","93.3","413.1","2.6","7.6","66.5","0.4","0.6","72.2"
"Malcolm Brown","MIA","80.1","311.9","3.5","10.6","70.5","0.2","0.7","69.7"
"Joshua Kelley","LAC","100.2","375.0","2.5","10.5","75.7","0.2","1.7","68.4"
"Salvon Ahmed","MIA","74.1","311.8","2.1","12.6","84.3","0.4","0.3","66.6"
"Qadree Ollison","ATL","79.3","301.2","2.8","9.6","77.4","0.6","0.7","66.4"
"Rex Burkhead","HOU","35.7","150.5","1.4","18.8","171.7","1.3","0.6","66.1"
"Kyle Juszczyk","SF","13.9","52.6","0.7","21.9","230.5","2.0","0.7","64.8"
"Cordarrelle Patterson","ATL","49.2","225.2","1.4","15.1","133.1","0.7","0.2","63.3"
"Justin Jackson","LAC","69.3","313.5","1.4","13.3","95.1","0.3","0.6","63.3"
"Marlon Mack","IND","74.1","315.0","2.6","9.3","65.7","0.2","0.6","62.7"
"Devontae Booker","NYG","77.5","327.3","2.0","10.9","71.0","0.2","0.7","62.4"
"DeeJay Dallas","SEA","48.4","193.6","1.6","16.7","122.6","0.9","0.6","61.9"
"Jake Funk","LAR","48.6","202.1","2.2","14.1","113.1","0.5","0.3","61.5"
"Jeff Wilson Jr.","SF","65.2","286.7","3.4","5.3","48.7","0.6","1.0","61.0"
"Chuba Hubbard","CAR","61.8","261.3","2.0","10.6","86.2","0.4","1.1","57.3"
